create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
44:19.1,285.33,4ca51277-c8ad-4780-87d7-1b79fab0bd28.achievement.json,373,6000,1.58414E+12,2.2222223,eyB2V5o7BM,201688,com.sec.android.app.shealth,com.sec.android.app.shealth,29:53.8,366,4ca51277-c8ad-4780-87d7-1b79fab0bd28.binning_data.json,4ca51277-c8ad-4780-87d7-1b79fab0bd28,12.65,7,,0
33:57.3,390.931,ec61c64d-5c76-49ec-a0ce-602042b53d7a.achievement.json,488,6000,1.59114E+12,3.344545,eyB2V5o7BM,260780,com.sec.android.app.shealth,com.sec.android.app.shealth,33:57.3,463,ec61c64d-5c76-49ec-a0ce-602042b53d7a.binning_data.json,ec61c64d-5c76-49ec-a0ce-602042b53d7a,18.82,25,,0
22:48.4,144.81,c9d0de67-0f02-4b25-931f-e27d73eff7ed.achievement.json,188,6000,1.58812E+12,2.2222223,eyB2V5o7BM,101841,com.sec.android.app.shealth,com.sec.android.app.shealth,22:48.4,187,c9d0de67-0f02-4b25-931f-e27d73eff7ed.binning_data.json,c9d0de67-0f02-4b25-931f-e27d73eff7ed,7.5,1,,0
22:48.7,2485.65,5fc9b490-5815-4b49-9f28-5b131bc05f45.achievement.json,3226,6000,1.58959E+12,1.4588085,VfS0qUERdZ,1703890,com.sec.android.app.shealth,com.sec.android.app.shealth,22:48.7,3147,5fc9b490-5815-4b49-9f28-5b131bc05f45.binning_data.json,5fc9b490-5815-4b49-9f28-5b131bc05f45,119.41,79,5fc9b490-5815-4b49-9f28-5b131bc05f45.source_info.json,0
40:20.0,1741.7,698bae92-bd79-4222-8bde-0ea7414ffa4a.achievement.json,2331,6000,1.5844E+12,1.3933756,VfS0qUERdZ,1249985,com.sec.android.app.shealth,com.sec.android.app.shealth,43:59.3,2322,698bae92-bd79-4222-8bde-0ea7414ffa4a.binning_data.json,698bae92-bd79-4222-8bde-0ea7414ffa4a,84.8,9,698bae92-bd79-4222-8bde-0ea7414ffa4a.source_info.json,0
33:57.6,1581.429,3c69d586-d600-4f06-888d-ab791ef8de53.achievement.json,2077,6000,1.59106E+12,1.3447771,VfS0qUERdZ,1175978,com.sec.android.app.shealth,com.sec.android.app.shealth,33:57.6,2061,3c69d586-d600-4f06-888d-ab791ef8de53.binning_data.json,3c69d586-d600-4f06-888d-ab791ef8de53,71.24,16,3c69d586-d600-4f06-888d-ab791ef8de53.source_info.json,0
15:35.6,6.267844,d9625dfa-e8f0-4906-a6d9-2ee63b21ed37.achievement.json,8,6000,1.58967E+12,1.7155511,7n2EPhZRXI,3653,com.sec.android.app.shealth,com.sec.android.app.shealth,15:35.6,8,d9625dfa-e8f0-4906-a6d9-2ee63b21ed37.binning_data.json,d9625dfa-e8f0-4906-a6d9-2ee63b21ed37,0.26428038,0,,0
01:52.6,4701.221,3a6daa37-04e8-4e34-bc02-4c7a4b81555e.achievement.json,6152,6000,1.58397E+12,5.4166665,eyB2V5o7BM,3388138,com.sec.android.app.shealth,com.sec.android.app.shealth,27:06.5,6066,3a6daa37-04e8-4e34-bc02-4c7a4b81555e.binning_data.json,3a6daa37-04e8-4e34-bc02-4c7a4b81555e,211.49,86,,0
43:59.3,1991.231,727d68a7-7e9e-434b-891f-4ab8d1df1d15.achievement.json,2663,6000,1.58449E+12,1.3913001,VfS0qUERdZ,1431201,com.sec.android.app.shealth,com.sec.android.app.shealth,43:59.3,2660,727d68a7-7e9e-434b-891f-4ab8d1df1d15.binning_data.json,727d68a7-7e9e-434b-891f-4ab8d1df1d15,95.36,3,727d68a7-7e9e-434b-891f-4ab8d1df1d15.source_info.json,0
00:59.6,1219.4453,691280f9-0837-4d7e-821a-73e5095bbb4e.achievement.json,1542,6000,1.59157E+12,1.4947268,VfS0qUERdZ,815831,com.sec.android.app.shealth,com.sec.android.app.shealth,30:00.7,1505,691280f9-0837-4d7e-821a-73e5095bbb4e.binning_data.json,691280f9-0837-4d7e-821a-73e5095bbb4e,53.951527,37,691280f9-0837-4d7e-821a-73e5095bbb4e.source_info.json,0
